,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000000001,1240,1915,867,296,0,165,1311,423,181,6,412,601,337,1225,172,1308,2,199,691,958
ENSMUSG00000000028,404,1296,1091,1648,0,6,1,251,126,418,0,0,0,0,104,0,0,0,0,653
ENSMUSG00000000037,62,155,238,20,0,0,0,52,61,0,52,0,0,0,0,0,0,0,0,17
ENSMUSG00000000056,366,267,222,504,0,70,0,23,94,82,162,0,0,381,34,192,1,0,154,0
ENSMUSG00000000058,0,0,0,0,0,0,1,0,0,0,1,0,102,14,0,0,1704,110,0,181
ENSMUSG00000000078,0,0,0,0,0,1800,796,37,0,0,0,0,0,228,99,126,307,0,0,2
ENSMUSG00000000085,0,266,116,404,0,329,0,0,0,65,0,0,0,0,0,392,2825,0,0,547
ENSMUSG00000000088,1905,1953,1541,421,187,45,245,642,212,1,590,0,0,635,305,232,0,379,320,934
ENSMUSG00000000093,0,3,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,27,0,0
ENSMUSG00000000131,129,541,212,272,1,93,1186,189,219,0,3,0,2,0,121,216,356,0,0,174
ENSMUSG00000000134,406,79,242,28,0,2,425,133,0,22,0,0,0,28,0,0,0,1,0,26
ENSMUSG00000000142,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000148,69,63,256,73,145,3,449,0,33,0,0,0,0,0,6,40,2,0,0,113
ENSMUSG00000000149,646,673,1405,1488,327,928,1306,318,443,718,424,6,3,0,7,227,0,688,0,503
ENSMUSG00000000154,0,0,0,0,601,149,0,0,0,0,0,0,468,0,0,0,0,0,0,275
ENSMUSG00000000167,33,101,51,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000168,683,771,763,523,50,9,1,252,183,62,0,230,0,642,220,15,0,0,0,6
ENSMUSG00000000171,6472,7762,3613,4345,9,1841,532,1491,707,601,455,0,0,0,1834,350,941,1,1,1730
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,0,57,121,1,46,705,2,1,0,0,0,2,1000,499,284,951,1454,427,151,2161
ENSMUSG00000000194,312,99,119,102,114,0,1393,103,0,1,0,0,0,0,0,1,179,1,0,6
ENSMUSG00000000197,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000000204,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000000223,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000244,948,1035,865,696,2158,2316,708,118,0,0,136,298,293,182,500,1817,6913,1842,755,767
ENSMUSG00000000253,0,0,0,0,0,0,0,0,0,0,0,0,0,659,161,547,6,1033,0,47
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,0,0,0,1,0,0,0,0,0,0,0,0,0,0,297,0,0,617,636,0
ENSMUSG00000000275,403,330,310,180,171,4,0,167,59,0,679,840,8,510,0,143,107,342,0,287
ENSMUSG00000000276,155,671,35,28,328,0,0,1,0,167,1,2,0,0,0,0,139,0,2,935
ENSMUSG00000000278,148,0,1,19,0,454,218,0,218,0,0,1,2,0,39,237,0,0,0,23
ENSMUSG00000000282,149,96,50,77,0,259,0,88,0,0,0,40,0,0,28,255,22,0,0,112
ENSMUSG00000000290,42,3,11,0,0,0,0,12,0,0,0,1,0,0,10,2,0,1,0,5
ENSMUSG00000000295,64,35,108,496,0,19,0,0,305,0,358,0,52,973,0,322,1162,18,0,389
ENSMUSG00000000301,28,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000000308,0,0,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000317,0,0,0,0,1144,0,0,11,0,0,0,0,0,0,225,0,0,0,0,0
ENSMUSG00000000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
ENSMUSG00000000325,145,34,0,54,0,0,0,124,210,0,0,0,0,0,0,1,0,122,1,191
ENSMUSG00000000326,346,491,639,203,317,43,20,238,407,14,20,6,2,4,124,130,45,58,3,17
ENSMUSG00000000339,535,1076,468,67,0,6,0,52,0,108,1,0,0,1298,3,0,442,265,0,615
ENSMUSG00000000340,55,23,0,35,0,0,0,25,0,0,0,0,0,0,11,22,147,0,0,0
ENSMUSG00000000346,1171,2084,1155,1136,2506,2199,734,311,491,516,4238,214,26,2638,866,632,1934,738,100,507
ENSMUSG00000000355,245,43,179,178,8,51,85,78,41,22,695,131,15,657,19,147,677,99,0,306
ENSMUSG00000000359,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000365,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
ENSMUSG00000000374,453,143,191,56,0,0,0,6,106,19,0,0,9,0,157,184,0,296,148,0
ENSMUSG00000000378,277,549,50,174,0,31,674,117,24,61,0,102,8,615,17,1028,0,739,469,293
ENSMUSG00000000384,870,126,499,475,88,0,14,130,88,55,11,2,41,0,2,74,82,0,0,1
ENSMUSG00000000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0
ENSMUSG00000000392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
ENSMUSG00000000399,1119,1338,875,1128,508,66,297,536,155,568,0,0,3,0,0,0,2,0,0,252
ENSMUSG00000000409,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,117,102,0,0,63
ENSMUSG00000000420,719,1432,254,952,211,1,640,412,626,190,97,63,0,79,491,660,15,311,632,1274
ENSMUSG00000000439,190,3,11,0,266,10,0,2,0,3,12,0,12,0,0,0,0,0,0,0
ENSMUSG00000000440,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000441,1247,1464,640,888,1,402,433,135,23,0,557,0,173,1451,435,246,999,508,531,382
ENSMUSG00000000486,113,6,0,0,134,5,612,1,0,0,368,6,164,580,54,210,68,0,0,225
ENSMUSG00000000489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
ENSMUSG00000000531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
ENSMUSG00000000532,0,0,0,0,0,52,273,0,0,0,3,43,5,325,12,6,0,577,0,22
ENSMUSG00000000538,24,0,0,0,3,172,341,0,88,1,87,0,0,10,0,0,271,0,0,1
ENSMUSG00000000552,0,4,155,0,36,2,0,2,0,0,0,0,0,0,1,10,1,17,0,6
ENSMUSG00000000555,137,19,186,74,0,0,0,127,64,0,0,0,17,20,9,80,0,0,0,14
ENSMUSG00000000561,747,2152,793,123,367,9,0,578,620,64,104,0,0,2364,498,550,582,4,367,700
ENSMUSG00000000563,5295,5263,5009,3029,937,931,1674,1290,1488,779,468,895,181,1997,558,1245,4174,1595,292,1838
ENSMUSG00000000567,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000568,4677,4168,1799,1592,766,563,528,857,966,434,3,366,100,1733,597,676,114,522,456,3095
ENSMUSG00000000579,14,13,8,1,1,23,4,11,1,6,0,1,0,7,4,45,3,0,0,60
ENSMUSG00000000581,1158,1611,346,1249,264,428,519,772,542,238,438,0,406,418,235,418,866,2,206,558
ENSMUSG00000000594,0,0,0,1,85,75,240,0,42,0,418,1,22,346,0,215,63,36,0,75
ENSMUSG00000000600,690,677,312,335,283,858,0,76,1,136,0,0,119,0,288,302,0,301,36,0
ENSMUSG00000000605,216,624,952,210,1360,2,309,320,869,1,360,32,0,0,60,283,0,539,0,337
ENSMUSG00000000617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000628,0,0,0,0,0,0,0,0,0,0,0,31,0,567,0,0,0,95,0,99
ENSMUSG00000000631,392,314,565,273,0,620,0,11,178,2,236,19,0,46,0,15,441,0,155,124
ENSMUSG00000000632,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
ENSMUSG00000000682,0,0,0,0,80,0,146,0,0,0,1,0,0,0,1,29,0,0,0,1
ENSMUSG00000000686,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0
ENSMUSG00000000693,83,37,61,39,63,7,1,5,8,8,0,0,0,0,10,140,2,6,0,5
ENSMUSG00000000708,286,102,189,0,0,576,1,3,0,17,2271,0,0,2097,1,142,0,1,0,7
ENSMUSG00000000711,5,27,23,112,446,18,2,189,0,0,17,0,4,0,2,49,20,0,0,50
ENSMUSG00000000732,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,145
ENSMUSG00000000738,426,272,147,256,80,0,0,128,255,0,195,1,0,199,18,718,601,0,0,58
ENSMUSG00000000740,2654,1480,1881,1878,820,866,286,736,309,76,1511,331,585,1617,430,989,511,716,136,1937
ENSMUSG00000000743,546,492,140,1,208,242,0,339,242,0,61,19,716,0,27,3,1475,354,0,3
ENSMUSG00000000751,1144,167,296,760,0,89,0,116,208,204,1,0,0,5,242,8,0,0,0,777
ENSMUSG00000000753,0,0,0,0,7,5,0,0,0,0,0,434,0,0,0,9,0,0,0,189
ENSMUSG00000000759,1212,264,451,785,1,0,465,275,80,221,0,0,0,6,0,164,342,0,325,99
ENSMUSG00000000766,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
ENSMUSG00000000776,733,332,43,20,0,36,0,117,0,204,0,0,0,0,186,269,496,0,139,362
ENSMUSG00000000782,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000787,3781,2567,3675,4753,337,2680,3278,1844,715,279,3549,1861,356,1233,591,969,485,935,911,2130
ENSMUSG00000000791,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605
ENSMUSG00000000794,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000000804,576,95,869,118,1,569,0,111,2,28,0,0,0,950,0,244,290,0,0,43
ENSMUSG00000000811,67,318,267,0,0,8,0,0,0,0,250,7,0,49,0,355,0,0,0,6
ENSMUSG00000000823,94,92,241,208,1305,24,0,23,182,73,86,0,2,85,195,353,0,0,6,261
ENSMUSG00000000826,779,656,347,245,365,160,101,57,126,204,190,0,417,0,63,262,0,536,0,1517
ENSMUSG00000000827,1463,1149,879,369,131,1582,1336,780,398,162,2520,0,256,14,349,582,113,0,0,1153
ENSMUSG00000000838,642,1109,741,353,377,86,9,432,368,34,0,32,74,494,54,208,842,0,0,31
ENSMUSG00000000861,1436,1222,1995,1076,887,2218,3056,949,707,110,569,134,480,1941,60,951,1611,1363,242,558
ENSMUSG00000000869,0,0,0,0,0,0,0,0,0,2,0,0,0,6,10,0,526,0,0,0
ENSMUSG00000000876,27,76,111,60,0,1,0,21,2,0,0,0,1,0,1,59,1,134,0,6
ENSMUSG00000000881,0,0,0,112,28,0,5,0,0,0,0,3,0,1099,23,5,10,0,66,189
ENSMUSG00000000884,1,4,106,0,0,0,0,6,91,0,0,0,0,0,0,0,278,0,0,5
ENSMUSG00000000889,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,267,0,0,0,0
ENSMUSG00000000902,610,278,86,113,1,167,0,17,38,0,0,8,1,290,45,292,24,121,8,563
ENSMUSG00000000915,16,0,375,22,0,0,3,0,0,0,35,9,0,6,42,50,14,379,0,1
ENSMUSG00000000916,444,81,92,63,1,85,144,10,242,64,58,0,0,0,0,0,0,0,0,416
ENSMUSG00000000934,18,0,14,100,0,126,0,0,55,0,0,0,0,449,0,32,0,0,0,0
ENSMUSG00000000938,0,0,0,0,0,9,0,0,0,0,0,63,1,0,0,62,1107,0,0,0
ENSMUSG00000000948,0,1,0,0,0,81,0,1,0,0,0,0,190,0,0,0,0,0,0,1
ENSMUSG00000000957,70,98,62,0,0,0,0,25,31,13,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000958,157,270,252,1,493,0,0,9,0,229,0,0,4,0,0,0,26,0,0,0
ENSMUSG00000000959,322,55,516,207,102,175,9,128,374,2,0,0,3,2,32,27,3,0,0,36
ENSMUSG00000000976,118,169,71,0,31,276,0,105,0,34,0,60,0,0,10,1,0,0,311,218
ENSMUSG00000000982,0,0,0,0,0,0,223,0,0,0,0,10,4,0,0,0,0,0,0,1
ENSMUSG00000001016,728,104,714,461,1812,307,27,141,543,518,195,2,1,28,68,46,0,484,0,492
ENSMUSG00000001017,2196,1422,1158,906,1402,994,0,939,223,343,140,0,220,387,77,497,258,235,388,1248
ENSMUSG00000001018,119,49,128,53,298,591,181,3,0,8,7,0,0,47,0,88,954,664,0,2
ENSMUSG00000001020,0,0,0,0,0,45,0,0,0,0,370,0,89,0,0,143,365,0,0,150
ENSMUSG00000001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001023,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,61,172,0,0,0,0,0,141,0,0,0,0,1,0,154,0
ENSMUSG00000001029,0,17,0,5,0,11,225,0,0,0,674,0,0,718,3,86,0,843,1,312
ENSMUSG00000001034,0,64,0,7,343,18,402,0,0,0,2,0,0,0,0,0,0,122,0,194
ENSMUSG00000001039,0,0,0,0,0,4,0,0,41,0,0,0,96,0,0,0,0,0,0,0
ENSMUSG00000001052,70,24,129,297,225,812,3,118,173,0,60,351,366,0,0,401,1097,0,0,205
ENSMUSG00000001053,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,247
ENSMUSG00000001054,1084,904,377,1064,0,41,832,159,347,94,139,2080,575,617,471,578,1353,181,0,760
ENSMUSG00000001056,2622,2325,1731,752,679,50,823,1206,666,142,15,9,371,0,255,74,22,131,0,722
ENSMUSG00000001062,165,4,90,104,56,479,0,35,0,0,0,98,0,1,7,98,0,0,0,0
ENSMUSG00000001065,57,127,79,31,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001082,195,46,247,730,159,0,485,89,56,285,1,1,6,0,1147,57,291,273,0,13
ENSMUSG00000001089,0,0,0,0,0,6,0,0,0,0,0,0,0,0,60,0,0,0,0,238
ENSMUSG00000001098,208,0,0,0,0,3,7,9,0,0,0,0,0,8,0,0,0,0,0,0
ENSMUSG00000001100,1479,667,613,836,0,100,93,68,116,219,360,134,0,89,0,19,792,173,174,189
ENSMUSG00000001105,902,474,748,395,2,490,8,176,230,129,184,1047,2,0,4,72,234,50,5,10
ENSMUSG00000001120,0,0,16,0,0,9,0,0,0,0,0,0,0,3,30,106,0,0,43,94
ENSMUSG00000001123,4324,6538,5277,3452,235,3,1624,3226,713,1120,354,338,256,2452,302,1912,2249,1946,0,2934
ENSMUSG00000001127,607,765,119,677,185,24,778,208,69,64,62,19,2,326,345,466,44,340,119,71
ENSMUSG00000001128,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,6,0,0,0,0
ENSMUSG00000001134,39,162,119,10,29,10,0,64,28,0,35,0,0,20,0,0,0,0,0,54
ENSMUSG00000001138,2,129,15,81,0,86,0,72,30,0,4,1,48,365,14,12,3,0,0,79
ENSMUSG00000001143,272,0,192,1,1,851,0,1,8,2,0,0,0,0,0,0,0,5,0,1183
ENSMUSG00000001150,450,1286,427,759,3,700,0,185,5,213,374,0,751,806,276,303,322,0,217,15
ENSMUSG00000001151,516,358,124,56,619,91,0,108,138,164,228,269,5,0,0,164,0,491,346,27
ENSMUSG00000001156,23,0,0,0,0,1,0,15,0,0,28,11,0,297,0,19,0,0,53,0
ENSMUSG00000001157,47,220,737,199,0,351,242,64,217,2,596,0,226,0,0,491,54,0,0,6
ENSMUSG00000001158,328,210,145,12,0,583,485,32,59,46,0,0,0,0,0,0,0,0,0,89
ENSMUSG00000001166,105,0,0,2,0,0,1,0,0,0,0,0,60,0,0,0,0,0,0,0
ENSMUSG00000001173,30,316,153,0,301,1754,1867,177,0,0,0,233,0,7,42,290,852,355,233,880
ENSMUSG00000001175,2018,1381,2992,952,2160,1702,79,718,696,930,1178,0,6,1918,184,444,306,3346,221,1428
ENSMUSG00000001211,145,16,116,684,197,4,0,6,152,0,0,0,0,6,100,0,42,0,35,2
ENSMUSG00000001225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000001228,87,40,395,318,0,0,0,25,300,0,22,0,0,0,23,0,0,0,0,404
ENSMUSG00000001229,89,234,117,0,0,6,0,78,106,0,0,32,0,45,0,156,0,0,404,13
ENSMUSG00000001240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001247,0,0,0,4,0,0,0,0,0,0,0,0,0,54,0,0,132,0,52,98
ENSMUSG00000001248,234,201,247,86,486,546,236,48,0,0,309,13,709,1393,12,541,387,188,0,2
ENSMUSG00000001249,1489,689,591,575,0,0,0,561,89,44,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001270,0,0,0,0,0,22,0,0,0,0,0,135,0,0,0,1,0,0,0,0
ENSMUSG00000001280,1148,678,2267,887,1,1567,1495,102,104,162,65,0,277,2150,12,512,1067,973,0,1642
ENSMUSG00000001281,0,0,0,0,12,2,0,0,0,0,19,0,0,0,0,1,0,0,0,0
ENSMUSG00000001285,21,37,84,0,0,23,122,20,26,0,9,0,29,0,8,250,38,0,217,88
ENSMUSG00000001288,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001289,836,215,604,474,565,310,547,49,222,115,435,288,98,1435,200,414,448,122,227,432
ENSMUSG00000001300,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001305,1689,1253,1109,777,2,12,497,571,322,174,1117,0,94,6,0,14,0,1098,1,813
ENSMUSG00000001313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,2,292,0,0
ENSMUSG00000001323,201,12,1,3,0,211,1,4,1,0,0,71,0,163,0,134,4,0,0,1
ENSMUSG00000001333,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ENSMUSG00000001348,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001366,919,993,358,846,311,39,180,280,412,0,484,167,1390,518,44,1219,4770,1178,633,1590
ENSMUSG00000001376,446,372,152,40,5,1042,0,16,0,9,0,0,0,0,0,0,0,0,0,130
ENSMUSG00000001379,0,0,0,0,0,11,0,0,0,0,0,0,0,27,0,0,4,0,0,0
ENSMUSG00000001380,3095,2269,1528,1458,0,80,0,1230,538,559,23,0,0,1,24,7,19,65,43,475
ENSMUSG00000001383,299,104,103,182,400,20,0,212,46,21,49,0,4,0,124,76,8,3,14,3
ENSMUSG00000001403,2733,743,765,271,0,22,0,114,321,112,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000001415,93,12,50,37,529,53,199,34,90,11,1,0,0,1,1,105,0,166,357,27
ENSMUSG00000001416,4932,8278,2935,3839,44,2458,746,1773,2409,2247,353,239,0,891,681,1165,142,1089,444,3447
ENSMUSG00000001418,1,32,0,1,0,33,0,0,110,0,0,0,5,0,5,219,1,0,18,0
ENSMUSG00000001419,499,320,289,785,1055,396,121,123,7,0,10,0,324,1,89,455,119,35,0,181
ENSMUSG00000001424,25,88,22,14,35,45,41,17,25,0,4,3,0,1,6,66,0,0,0,7
ENSMUSG00000001435,0,0,0,0,0,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001436,527,433,164,150,0,3,335,62,78,174,265,0,0,602,1,118,15,233,57,458
ENSMUSG00000001440,3289,3394,994,1329,499,1111,2480,1229,1096,339,2,4,5,44,299,1780,433,975,2,1929
ENSMUSG00000001441,605,672,443,461,457,156,0,32,152,48,365,3,0,3,92,46,331,512,0,2
ENSMUSG00000001445,252,162,260,191,439,139,0,295,1,261,392,3,10,347,39,274,0,0,0,6
ENSMUSG00000001467,140,20,0,34,2,290,0,42,0,0,0,0,0,0,0,2,573,193,0,5
ENSMUSG00000001472,1203,1344,605,549,738,132,86,367,181,874,248,15,0,440,39,350,1180,254,546,221
ENSMUSG00000001473,19,0,681,1,246,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000001482,187,43,137,3,3,543,1890,96,18,0,164,4,79,161,0,859,27,17,11,301
ENSMUSG00000001497,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001506,0,10,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ENSMUSG00000001517,159,55,136,0,0,2,0,38,2,38,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001518,251,206,288,0,111,17,0,0,0,2,0,551,3,0,0,309,6,0,23,0
ENSMUSG00000001521,1,0,1,5,2,3,1,1,1,0,2,0,0,0,0,1,5,1,0,1
ENSMUSG00000001524,201,197,191,46,354,3,0,0,91,0,0,0,0,37,0,1,0,5,0,1
ENSMUSG00000001525,15467,11923,11232,6327,4071,2190,1881,3920,4962,2188,1222,84,358,1442,334,1770,935,1701,505,12074
ENSMUSG00000001542,697,283,492,1322,4,362,0,699,175,88,899,68,355,808,0,503,0,0,5,0
ENSMUSG00000001552,0,0,1,0,87,2,0,0,0,0,36,309,0,0,0,0,1537,0,0,3
ENSMUSG00000001555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,391,0,0,0,28
ENSMUSG00000001558,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001569,258,890,248,0,395,37,0,315,86,0,0,16,0,1,0,158,0,65,0,3
ENSMUSG00000001576,84,0,107,257,0,182,0,0,168,0,6,0,0,0,1,1,0,195,2,404
ENSMUSG00000001588,0,5,0,0,79,22,123,0,5,0,17,454,3,846,97,163,46,4,0,129
ENSMUSG00000001627,335,530,10,776,0,142,0,0,227,0,0,16,0,427,259,517,692,1,1,235
ENSMUSG00000001630,182,0,0,1,0,8,0,2,0,0,482,0,0,0,0,0,0,0,0,0
ENSMUSG00000001632,98,9,4,13,0,1,2,1,0,0,0,0,0,102,0,6,0,0,0,17
ENSMUSG00000001642,480,715,342,147,212,7,184,143,171,232,631,0,5,0,188,515,1689,0,0,1311
ENSMUSG00000001657,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000001661,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001663,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,85,56,0,0,0
ENSMUSG00000001665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,278,260,0,0
ENSMUSG00000001666,0,60,126,78,0,161,0,87,46,0,132,188,18,0,0,5,0,0,0,132
ENSMUSG00000001674,329,611,366,97,23,137,22,200,133,0,771,0,0,45,19,105,30,34,15,164
ENSMUSG00000001687,53,80,176,0,142,521,325,0,12,55,170,0,5,1201,0,279,403,0,0,1
ENSMUSG00000001700,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000001707,1562,1668,941,756,429,581,1,767,390,78,0,0,159,86,399,490,219,0,0,360
ENSMUSG00000001729,1050,1043,807,1242,177,163,3,250,519,581,309,233,274,917,267,272,1,0,210,1180
ENSMUSG00000001741,0,0,0,0,1785,18,1,1,0,1,722,64,444,483,3,135,529,0,2,1973
ENSMUSG00000001750,0,1,0,0,0,3,1,22,0,0,400,0,0,0,13,19,161,0,0,146
ENSMUSG00000001751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0
ENSMUSG00000001755,381,949,54,218,1104,4,0,0,45,0,103,0,0,1366,26,24,48,0,305,374
ENSMUSG00000001761,0,139,111,194,267,2,0,14,0,181,1124,646,0,0,46,3,0,0,0,459
ENSMUSG00000001763,405,117,97,67,0,0,0,131,250,1,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000001767,698,742,793,2377,0,15,0,466,306,2,0,0,0,0,0,127,0,0,0,50
ENSMUSG00000001768,0,0,0,0,10,1,0,0,0,0,1,0,0,297,0,0,1,0,0,0
ENSMUSG00000001774,991,788,369,365,54,82,67,223,559,112,0,0,242,0,0,314,7,12,0,111
ENSMUSG00000001783,1107,1233,341,440,1295,122,8,501,7,38,1050,7,989,1201,68,471,338,14,1,250
ENSMUSG00000001785,940,1107,548,280,0,287,1,314,659,151,254,0,0,615,208,268,207,559,0,1079
ENSMUSG00000001786,1473,1082,260,1484,841,188,790,439,406,339,1414,0,326,1269,0,103,0,0,0,1
ENSMUSG00000001794,1733,2038,1494,2763,265,42,1973,379,237,263,994,1984,561,1284,87,2233,654,2192,1166,462
ENSMUSG00000001827,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001829,46,154,116,8,121,1,0,237,91,21,0,2,2,0,128,3,0,1,31,2
ENSMUSG00000001833,892,1892,1388,1364,87,2126,1062,327,669,124,468,1,132,499,373,562,2030,287,768,832
ENSMUSG00000001844,104,1217,76,20,0,11,0,92,2,0,2,9,780,110,128,220,0,0,0,716
ENSMUSG00000001847,1819,1587,1583,1918,1490,2733,1765,614,778,296,1218,521,614,1470,710,2256,6024,2065,439,562
ENSMUSG00000001855,133,817,86,566,425,8,145,68,174,45,5,3,0,1,179,35,2,0,0,0
ENSMUSG00000001864,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
ENSMUSG00000001865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0
ENSMUSG00000001870,1,1,0,25,0,4,0,0,0,0,0,0,1,1,150,1,0,0,0,0
ENSMUSG00000001891,59,329,0,308,239,60,0,2,0,100,0,1,181,534,22,185,0,142,113,30
ENSMUSG00000001909,1017,977,516,1058,302,262,6,527,105,16,1008,642,0,0,380,356,57,893,0,2
ENSMUSG00000001910,310,40,230,290,0,245,0,146,47,2,0,0,0,0,104,148,336,87,0,269
ENSMUSG00000001911,216,172,485,196,10,9,1122,47,5,5,469,0,0,1,4,32,141,65,29,603
ENSMUSG00000001918,697,74,494,338,433,155,0,49,289,62,245,0,1,443,411,808,0,432,16,188
