,limprep_cd150minus_C10,limprep_cd150minus_C12,limprep_cd150minus_C6,limprep_cd150minus_C9,limprep_cd150minus_D11,limprep_cd150minus_D12,limprep_cd150minus_D3,limprep_cd150minus_D4,limprep_cd150minus_D5,limprep_cd150minus_D8,limprep_cd150minus_D9,limprep_cd150plus_A10,limprep_cd150plus_A11,limprep_cd150plus_A3,limprep_cd150plus_A8,limprep_cd150plus_B11,limprep_cd150plus_B12,limprep_cd150plus_B3,limprep_cd150plus_B4,limprep_cd150plus_B9
ENSMUSG00000022947,0,0,7,0,0,9,0,0,51,0,0,0,0,0,0,147,1676,0,0,0
ENSMUSG00000022948,51,52,101,8,59,70,0,0,0,249,1,0,0,0,19,202,0,0,0,0
ENSMUSG00000022951,0,3,248,282,0,0,0,25,0,0,0,4,0,0,0,0,0,0,0,0
ENSMUSG00000022952,49,39,219,189,98,7,780,0,564,4,900,111,20,487,106,777,1118,563,0,2181
ENSMUSG00000022956,2120,1567,1551,1948,35,410,712,709,994,140,142,1,97,7,193,781,183,1499,156,2558
ENSMUSG00000022957,8,15,11,17,143,1093,15,55,7,0,11,785,965,476,158,407,5010,159,2,321
ENSMUSG00000022960,578,593,296,542,0,236,210,208,143,39,0,0,0,0,119,52,0,0,0,15
ENSMUSG00000022961,2369,3450,2530,1417,143,383,2920,1519,902,24,3381,1077,72,2226,664,1082,490,1747,500,1193
ENSMUSG00000022962,425,740,1613,313,410,170,68,109,57,86,2,12,0,118,11,99,0,247,4,143
ENSMUSG00000022964,0,4,51,0,37,232,458,0,0,0,0,0,147,0,0,38,808,0,0,10
ENSMUSG00000022965,0,0,86,0,63,1,0,0,0,0,14,0,2,0,0,0,0,1,0,0
ENSMUSG00000022967,0,18,245,121,0,87,0,49,0,0,72,87,1,0,0,293,83,0,0,24
ENSMUSG00000022969,103,219,1,78,618,1,198,44,0,0,74,0,0,0,0,0,0,0,0,55
ENSMUSG00000022971,132,128,269,22,142,59,93,24,19,0,838,0,0,126,11,57,0,225,0,437
ENSMUSG00000022972,193,97,29,129,291,2,0,303,130,0,0,0,380,0,76,8,0,0,0,0
ENSMUSG00000022973,580,1359,1003,1501,473,523,376,187,3,7,0,617,168,841,122,419,17,0,0,81
ENSMUSG00000022974,265,422,319,1,516,1348,6,135,95,67,221,0,0,9,363,51,372,468,0,579
ENSMUSG00000022978,288,43,1007,246,2,466,0,127,0,49,377,0,67,0,87,169,368,0,77,16
ENSMUSG00000022982,9779,3581,3088,5510,973,1155,1075,2381,1442,1544,130,297,476,1710,311,1886,1025,1407,14,2500
ENSMUSG00000022983,170,19,433,63,150,553,1,47,20,0,0,0,1,0,0,68,0,0,38,1
ENSMUSG00000022992,155,187,208,218,131,566,730,91,146,36,86,0,0,646,56,47,0,3,0,193
ENSMUSG00000022993,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000022994,537,373,539,1289,59,1,394,137,267,316,0,0,0,580,120,168,19,0,139,84
ENSMUSG00000022995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000022999,0,0,0,0,0,6,0,0,0,0,779,0,0,0,84,2,4,0,0,0
ENSMUSG00000023004,8016,3258,8115,3016,1953,282,1,1655,2823,1708,705,8,5,570,232,1150,654,63,883,4792
ENSMUSG00000023007,6,1,0,0,0,48,0,0,0,189,12,15,0,0,3,181,0,5,0,1
ENSMUSG00000023008,0,0,0,0,25,0,0,0,0,0,0,0,0,123,0,0,0,0,0,15
ENSMUSG00000023009,0,0,0,0,0,5,0,0,0,0,795,0,0,0,0,0,0,0,0,0
ENSMUSG00000023010,1150,528,334,1327,999,384,1,771,146,99,25,101,492,609,414,288,52,936,109,63
ENSMUSG00000023011,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023015,611,370,339,2,0,4,7,35,89,0,1,0,0,302,22,0,31,0,2,1
ENSMUSG00000023017,0,0,0,0,520,0,1,0,0,0,0,0,0,0,0,86,0,0,0,0
ENSMUSG00000023018,167,1219,307,153,4,1793,19,40,128,2,38,1956,1,0,87,237,0,384,31,704
ENSMUSG00000023019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023020,498,201,54,77,0,443,422,249,90,0,332,70,1,536,39,530,7,170,288,194
ENSMUSG00000023021,0,0,28,1,569,1,0,0,0,0,610,37,0,213,151,6,740,0,267,212
ENSMUSG00000023022,0,0,0,0,0,3,0,0,0,0,0,682,229,398,0,72,1,0,0,2
ENSMUSG00000023025,604,638,186,117,38,680,750,143,670,59,80,239,0,3,6,92,81,101,0,471
ENSMUSG00000023026,57,331,16,26,296,17,333,72,0,1,5,0,0,131,98,163,201,5,40,221
ENSMUSG00000023027,788,1880,1357,568,440,1,492,179,515,504,0,0,0,502,0,676,484,438,62,257
ENSMUSG00000023030,1546,1040,1289,2571,25,0,0,397,338,687,0,0,0,0,68,67,0,0,0,549
ENSMUSG00000023031,305,35,346,27,388,0,0,129,211,22,18,0,0,0,4,0,0,0,0,0
ENSMUSG00000023032,0,0,0,0,0,15,0,0,0,0,0,0,0,0,21,0,0,0,0,0
ENSMUSG00000023033,0,1,1,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000023034,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0
ENSMUSG00000023036,0,0,26,0,0,0,0,2,0,0,1,1,2,0,1,1,0,0,0,9
ENSMUSG00000023039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000023043,0,0,0,0,0,1545,27,0,0,0,237,128,474,636,76,755,1320,3,0,1364
ENSMUSG00000023044,158,0,141,1,137,4,28,0,0,0,127,0,1,47,4,99,3,0,0,0
ENSMUSG00000023045,103,0,3,60,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0
ENSMUSG00000023047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000023048,188,41,168,412,1140,19,172,223,240,2,1169,440,784,790,109,760,21,288,205,293
ENSMUSG00000023050,14,10,9,9,2,7,0,1,4,0,6,0,1,6,3,23,8,0,1,6
ENSMUSG00000023051,619,512,264,358,39,19,0,391,182,0,1817,80,0,0,0,47,1010,0,23,74
ENSMUSG00000023052,0,0,211,5,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023055,48,0,37,0,0,17,0,0,0,0,0,53,0,0,0,247,41,0,0,3
ENSMUSG00000023066,98,2,15,0,0,14,0,0,0,0,0,0,0,0,24,0,0,0,0,84
ENSMUSG00000023068,997,982,313,893,618,2039,0,449,349,87,2,0,5,0,632,418,708,0,0,360
ENSMUSG00000023070,0,0,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0
ENSMUSG00000023072,50,85,13,136,0,3,0,112,0,0,240,0,0,0,0,36,0,0,0,0
ENSMUSG00000023074,183,406,104,0,242,5,0,138,208,17,651,0,0,471,0,258,0,0,0,0
ENSMUSG00000023075,612,773,522,284,637,9,1,174,165,0,1299,0,0,0,0,261,0,0,2,440
ENSMUSG00000023079,56,276,18,0,0,1574,1303,0,0,286,0,0,0,211,8,45,0,118,0,18
ENSMUSG00000023084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000023087,289,56,593,282,0,1,0,213,275,0,0,0,0,0,92,0,0,0,0,14
ENSMUSG00000023088,7,72,116,34,205,149,0,51,101,0,224,0,75,589,300,225,1755,385,2,398
